"","GH2_1_D","GH2_1_M","GH2_2_D","GH2_2_M","GH2_3_D","GH2_3_M","GH2_10_D","GH2_10_M","GH2_11_D","GH2_11_M","GH3_2_D","GH3_2_M","GH3_3_D","GH3_3_M","GH3_6_D","GH3_6_M","GH3_7_D","GH3_7_M","GH3_9_D","GH3_9_M","GH3_10_D","GH3_10_M","GH4_2_D","GH4_2_M","GH4_3_D","GH4_3_M","GH4_4_D","GH4_4_M","GH4_5_D","GH4_5_M","GH4_6_D","GH4_6_M","GH4_7_D","GH4_7_M","GH4_10_D","GH4_10_M","GH4_11_D","GH4_11_M","GH4_12_D","GH4_12_M","GH5_2_D","GH5_2_M","GH5_3_D","GH5_3_M","GH5_4_D","GH5_4_M","GH5_6_D","GH5_6_M","GH5_7_D","GH5_7_M","GH5_10_D","GH5_10_M"
"ASV_467",0,0,0,0,0.00181062606184843,0.00691753494646804,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.08543764322244e-05,0,0,0,0,0,0,0,0,0
"ASV_285",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00225690276110444,0.000194920598520897,0.00155570861933829,0,0.00135790354177454,0.000431633327488299,0.000119862757143071,0,0.00108932461873638,0,0.00028563820774128,0,0.00252672107806766,0,0.0011430559351937,0,0.00130617731283969,0.00240355336132065,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_956",0,0,0,0,0,0,0,0,0,0,0,0,0.00176056338028169,0,0.000505195476204145,0,0,0.00130039011703511,0,0,0.00042126682086622,0,0,0,0,0,0,0,7.49142232144195e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000214892016761577,0,0,0,0,5.72664800203614e-05
"ASV_132",0,0,0,0,0,0,0.000475218366185871,0,0.00341475369659342,0.000247120361344884,0,0,0,0,0,0,0,0.000212308590536345,0,0,0,0,0,0,0,0,0.000123116587787559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1431",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000424238949721951,0,0,0.000162948425012945,0.000499076034908345,0.000129851320238327,0,0,0.000762759883188772,0.000266272905521532,0,0.000474595758049746,0.00599566271208062,0,0,0.000447080825200164,0.000592768227622999,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1662",0,0,0,0,0,0,0,0,0,0,0,0,0.00445318972659486,0.00506523407521105,0.000424823468626213,0,0,0,0,0,0.00169301571404726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_658",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.03372596395852e-05,0,0,0,0,0,0,0,0,2.22842053266679e-05,0,0,0,0,0,0.00011789624317523,0.0266842871063767,0,0
"ASV_117",0,0,0,0,0,0,0.000736253806766842,0,0.000147046809901152,0,0,0,0.00724937862468931,0.00537221795855718,0.00022963430736552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1087",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00010332959757096,0,0,0,0,0,0.000166569501124344,0,0.000629279475001124,0,0,0,0,0,0.000173795629708358,0.00127567291746396,0,9.49203034529086e-05,0.000125650166559523,0,0,0,0,0,0,0,0,0,0,0,0,0
"ASV_1867",0,0,0,0,0,0,0,0,0,0,0.000109525186411867,0,0.00113918806959403,0.000767459708365311,0.000355933176416557,0,0,0,0,5.27370530534754e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.42806844222263e-05,0,0,0,0,0,0,0,0,0
